"Date(UTC)","UnixTimeStamp","Value"
"6/15/2021","1623715200","366.80"
"6/16/2021","1623801600","347.26"
"6/17/2021","1623888000","352.83"
"6/18/2021","1623974400","337.38"
"6/19/2021","1624060800","334.24"
"6/20/2021","1624147200","339.11"
"6/21/2021","1624233600","271.11"
"6/22/2021","1624320000","261.92"
"6/23/2021","1624406400","296.24"
"6/24/2021","1624492800","308.38"
"6/25/2021","1624579200","280.94"
"6/26/2021","1624665600","279.57"
"6/27/2021","1624752000","291.21"
"6/28/2021","1624838400","290.00"
"6/29/2021","1624924800","300.78"
"6/30/2021","1625011200","303.57"
"7/1/2021","1625097600","287.62"
"7/2/2021","1625184000","287.22"
"7/3/2021","1625270400","298.26"
"7/4/2021","1625356800","307.82"
"7/5/2021","1625443200","302.15"
"7/6/2021","1625529600","320.29"
"7/7/2021","1625616000","328.01"
"7/8/2021","1625702400","310.27"
"7/9/2021","1625788800","316.75"
"7/10/2021","1625875200","316.12"
"7/11/2021","1625961600","322.22"
"7/12/2021","1626048000","316.10"
"7/13/2021","1626134400","308.94"
"7/14/2021","1626220800","309.41"
"7/15/2021","1626307200","315.71"
"7/16/2021","1626393600","303.04"
"7/17/2021","1626480000","300.59"
"7/18/2021","1626566400","302.11"
"7/19/2021","1626652800","280.36"
"7/20/2021","1626739200","264.55"
"7/21/2021","1626825600","292.97"
"7/22/2021","1626912000","293.58"
"7/23/2021","1626998400","299.24"
"7/24/2021","1627084800","301.75"
"7/25/2021","1627171200","302.88"
"7/26/2021","1627257600","303.93"
"7/27/2021","1627344000","313.73"
"7/28/2021","1627430400","313.96"
"7/29/2021","1627516800","317.13"
"7/30/2021","1627603200","322.88"
"7/31/2021","1627689600","332.58"
"8/1/2021","1627776000","332.79"
"8/2/2021","1627862400","330.72"
"8/3/2021","1627948800","323.31"
"8/4/2021","1628035200","334.84"
"8/5/2021","1628121600","338.19"
"8/6/2021","1628208000","342.43"
"8/7/2021","1628294400","356.51"
"8/8/2021","1628380800","342.04"
"8/9/2021","1628467200","354.68"
"8/10/2021","1628553600","372.10"
"8/11/2021","1628640000","391.21"
"8/12/2021","1628726400","385.91"
"8/13/2021","1628812800","411.25"
"8/14/2021","1628899200","409.07"
"8/15/2021","1628985600","414.39"
"8/16/2021","1629072000","415.94"
"8/17/2021","1629158400","401.71"
"8/18/2021","1629244800","396.03"
"8/19/2021","1629331200","431.09"
"8/20/2021","1629417600","455.18"
"8/21/2021","1629504000","449.12"
"8/22/2021","1629590400","448.92"
"8/23/2021","1629676800","499.50"
"8/24/2021","1629763200","471.99"
"8/25/2021","1629849600","503.40"
"8/26/2021","1629936000","478.21"
"8/27/2021","1630022400","494.66"
"8/28/2021","1630108800","486.33"
"8/29/2021","1630195200","479.97"
"8/30/2021","1630281600","460.05"
"8/31/2021","1630368000","464.42"
"9/1/2021","1630454400","489.87"
"9/2/2021","1630540800","483.69"
"9/3/2021","1630627200","488.64"
"9/4/2021","1630713600","497.71"
"9/5/2021","1630800000","504.69"
"9/6/2021","1630886400","496.32"
"9/7/2021","1630972800","418.26"
"9/8/2021","1631059200","414.95"
"9/9/2021","1631145600","421.29"
"9/10/2021","1631232000","401.39"
"9/11/2021","1631318400","404.98"
"9/12/2021","1631404800","416.93"
"9/13/2021","1631491200","399.03"
"9/14/2021","1631577600","414.71"
"9/15/2021","1631664000","431.27"
"9/16/2021","1631750400","424.30"
"9/17/2021","1631836800","406.51"
"9/18/2021","1631923200","410.63"
"9/19/2021","1632009600","408.56"
"9/20/2021","1632096000","363.86"
"9/21/2021","1632182400","344.24"
"9/22/2021","1632268800","379.09"
"9/23/2021","1632355200","383.86"
"9/24/2021","1632441600","355.23"
"9/25/2021","1632528000","349.82"
"9/26/2021","1632614400","344.16"
"9/27/2021","1632700800","335.81"
"9/28/2021","1632787200","333.28"
"9/29/2021","1632873600","367.46"
"9/30/2021","1632960000","387.47"
"10/1/2021","1633046400","421.58"
"10/2/2021","1633132800","427.40"
"10/3/2021","1633219200","430.64"
"10/4/2021","1633305600","426.55"
"10/5/2021","1633392000","442.51"
"10/6/2021","1633478400","435.10"
"10/7/2021","1633564800","438.39"
"10/8/2021","1633651200","419.47"
"10/9/2021","1633737600","422.00"
"10/10/2021","1633824000","404.39"
"10/11/2021","1633910400","413.42"
"10/12/2021","1633996800","444.57"
"10/13/2021","1634083200","470.45"
"10/14/2021","1634169600","472.73"
"10/15/2021","1634256000","474.16"
"10/16/2021","1634342400","465.85"
"10/17/2021","1634428800","471.00"
"10/18/2021","1634515200","484.97"
"10/19/2021","1634601600","488.03"
"10/20/2021","1634688000","501.47"
"10/21/2021","1634774400","471.13"
"10/22/2021","1634860800","479.09"
"10/23/2021","1634947200","485.55"
"10/24/2021","1635033600","475.88"
"10/25/2021","1635120000","485.00"
"10/26/2021","1635206400","478.09"
"10/27/2021","1635292800","448.60"
"10/28/2021","1635379200","492.44"
"10/29/2021","1635465600","530.21"
"10/30/2021","1635552000","528.72"
"10/31/2021","1635638400","524.94"
"11/1/2021","1635724800","551.71"
"11/2/2021","1635811200","554.94"
"11/3/2021","1635897600","568.77"
"11/4/2021","1635984000","559.50"
"11/5/2021","1636070400","607.77"
"11/6/2021","1636156800","637.58"
"11/7/2021","1636243200","649.78"
"11/8/2021","1636329600","653.81"
"11/9/2021","1636416000","635.14"
"11/10/2021","1636502400","614.68"
"11/11/2021","1636588800","628.89"
"11/12/2021","1636675200","627.00"
"11/13/2021","1636761600","649.81"
"11/14/2021","1636848000","650.98"
"11/15/2021","1636934400","634.01"
"11/16/2021","1637020800","589.16"
"11/17/2021","1637107200","578.22"
"11/18/2021","1637193600","532.02"
"11/19/2021","1637280000","581.61"
"11/20/2021","1637366400","604.73"
"11/21/2021","1637452800","584.63"
"11/22/2021","1637539200","559.84"
"11/23/2021","1637625600","591.18"
"11/24/2021","1637712000","590.75"
"11/25/2021","1637798400","639.30"
"11/26/2021","1637884800","587.42"
"11/27/2021","1637971200","600.62"
"11/28/2021","1638057600","611.95"
"11/29/2021","1638144000","624.12"
"11/30/2021","1638230400","622.23"
"12/1/2021","1638316800","627.93"
"12/2/2021","1638403200","620.69"
"12/3/2021","1638489600","595.59"
"12/4/2021","1638576000","569.20"
"12/5/2021","1638662400","558.23"
"12/6/2021","1638748800","587.99"
"12/7/2021","1638835200","579.11"
"12/8/2021","1638921600","607.83"
"12/9/2021","1639008000","570.89"
"12/10/2021","1639094400","553.52"
"12/11/2021","1639180800","564.19"
"12/12/2021","1639267200","570.73"
"12/13/2021","1639353600","521.07"
"12/14/2021","1639440000","528.60"
"12/15/2021","1639526400","541.28"
"12/16/2021","1639612800","526.08"
"12/17/2021","1639699200","525.79"
"12/18/2021","1639785600","534.23"
"12/19/2021","1639872000","530.01"
"12/20/2021","1639958400","523.85"
"12/21/2021","1640044800","528.84"
"12/22/2021","1640131200","533.74"
"12/23/2021","1640217600","548.95"
"12/24/2021","1640304000","542.08"
"12/25/2021","1640390400","547.77"
"12/26/2021","1640476800","546.52"
"12/27/2021","1640563200","563.95"
"12/28/2021","1640649600","534.24"
"12/29/2021","1640736000","514.55"
"12/30/2021","1640822400","518.56"
"12/31/2021","1640908800","511.71"
"1/1/2022","1640995200","527.50"
"1/2/2022","1641081600","531.25"
"1/3/2022","1641168000","511.89"
"1/4/2022","1641254400","506.73"
"1/5/2022","1641340800","473.76"
"1/6/2022","1641427200","472.32"
"1/7/2022","1641513600","447.70"
"1/8/2022","1641600000","430.21"
"1/9/2022","1641686400","438.79"
"1/10/2022","1641772800","425.03"
"1/11/2022","1641859200","463.38"
"1/12/2022","1641945600","487.51"
"1/13/2022","1642032000","475.57"
"1/14/2022","1642118400","490.36"
"1/15/2022","1642204800","494.66"
"1/16/2022","1642291200","498.67"
"1/17/2022","1642377600","475.45"
"1/18/2022","1642464000","471.43"
"1/19/2022","1642550400","462.11"
"1/20/2022","1642636800","440.34"
"1/21/2022","1642723200","384.09"
"1/22/2022","1642809600","358.48"
"1/23/2022","1642896000","384.29"
"1/24/2022","1642982400","371.68"
"1/25/2022","1643068800","385.29"
"1/26/2022","1643155200","375.02"
"1/27/2022","1643241600","390.12"
"1/28/2022","1643328000","386.13"
"1/29/2022","1643414400","389.49"
"1/30/2022","1643500800","377.30"
"1/31/2022","1643587200","374.75"
"2/1/2022","1643673600","384.28"
"2/2/2022","1643760000","367.26"
"2/3/2022","1643846400","372.39"
"2/4/2022","1643932800","399.68"
"2/5/2022","1644019200","414.05"
"2/6/2022","1644105600","420.34"
"2/7/2022","1644192000","433.75"
"2/8/2022","1644278400","408.09"
"2/9/2022","1644364800","423.24"
"2/10/2022","1644451200","414.79"
"2/11/2022","1644537600","400.83"
"2/12/2022","1644624000","403.60"
"2/13/2022","1644710400","398.07"
"2/14/2022","1644796800","403.71"
"2/15/2022","1644883200","432.82"
"2/16/2022","1644969600","427.59"
"2/17/2022","1645056000","402.64"
"2/18/2022","1645142400","399.39"
"2/19/2022","1645228800","399.84"
"2/20/2022","1645315200","380.68"
"2/21/2022","1645401600","356.82"
"2/22/2022","1645488000","374.49"
"2/23/2022","1645574400","365.88"
"2/24/2022","1645660800","360.45"
"2/25/2022","1645747200","375.01"
"2/26/2022","1645833600","373.86"
"2/27/2022","1645920000","359.83"
"2/28/2022","1646006400","396.03"
"3/1/2022","1646092800","408.83"
"3/2/2022","1646179200","409.32"
"3/3/2022","1646265600","402.77"
"3/4/2022","1646352000","374.15"
"3/5/2022","1646438400","384.81"
"3/6/2022","1646524800","374.84"
"3/7/2022","1646611200","380.84"
"3/8/2022","1646697600","381.48"
"3/9/2022","1646784000","393.40"
"3/10/2022","1646870400","372.27"
"3/11/2022","1646956800","372.02"
"3/12/2022","1647043200","372.46"
"3/13/2022","1647129600","361.36"
"3/14/2022","1647216000","373.49"
"3/15/2022","1647302400","371.76"
"3/16/2022","1647388800","385.68"
"3/17/2022","1647475200","392.14"
"3/18/2022","1647561600","397.44"
"3/19/2022","1647648000","400.10"
"3/20/2022","1647734400","390.87"
"3/21/2022","1647820800","396.15"
"3/22/2022","1647907200","404.31"
"3/23/2022","1647993600","408.60"
"3/24/2022","1648080000","414.39"
"3/25/2022","1648166400","410.37"
"3/26/2022","1648252800","416.23"
"3/27/2022","1648339200","430.80"
"3/28/2022","1648425600","430.15"
"3/29/2022","1648512000","434.48"
"3/30/2022","1648598400","442.00"
"3/31/2022","1648684800","428.82"
"4/1/2022","1648771200","447.80"
"4/2/2022","1648857600","437.17"
"4/3/2022","1648944000","450.26"
"4/4/2022","1649030400","447.85"
"4/5/2022","1649116800","444.61"
"4/6/2022","1649203200","420.17"
"4/7/2022","1649289600","436.34"
"4/8/2022","1649376000","421.78"
"4/9/2022","1649462400","426.93"
"4/10/2022","1649548800","417.93"
"4/11/2022","1649635200","394.30"
"4/12/2022","1649721600","413.73"
"4/13/2022","1649808000","423.35"
"4/14/2022","1649894400","414.75"
"4/15/2022","1649980800","417.39"
"4/16/2022","1650067200","417.25"
"4/17/2022","1650153600","406.71"
"4/18/2022","1650240000","416.98"
"4/19/2022","1650326400","422.49"
"4/20/2022","1650412800","418.48"
"4/21/2022","1650499200","405.00"
"4/22/2022","1650585600","406.59"
"4/23/2022","1650672000","401.08"
"4/24/2022","1650758400","398.81"
"4/25/2022","1650844800","404.29"
"4/26/2022","1650931200","385.93"
"4/27/2022","1651017600","391.41"
"4/28/2022","1651104000","406.99"
"4/29/2022","1651190400","392.92"
"4/30/2022","1651276800","377.03"
"5/1/2022","1651363200","390.10"
"5/2/2022","1651449600","389.55"
"5/3/2022","1651536000","383.80"
"5/4/2022","1651622400","402.67"
"5/5/2022","1651708800","378.35"
"5/6/2022","1651795200","379.18"
"5/7/2022","1651881600","365.33"
"5/8/2022","1651968000","355.65"
"5/9/2022","1652054400","296.30"
"5/10/2022","1652140800","318.98"
"5/11/2022","1652227200","270.59"
"5/12/2022","1652313600","267.95"
"5/13/2022","1652400000","290.48"
"5/14/2022","1652486400","296.54"
"5/15/2022","1652572800","312.06"
"5/16/2022","1652659200","296.80"
"5/17/2022","1652745600","305.81"
"5/18/2022","1652832000","287.27"
"5/19/2022","1652918400","306.58"
"5/20/2022","1653004800","302.02"
"5/21/2022","1653091200","311.97"
"5/22/2022","1653177600","319.15"
"5/23/2022","1653264000","316.69"
"5/24/2022","1653350400","328.06"
"5/25/2022","1653436800","325.28"
"5/26/2022","1653523200","302.87"
"5/27/2022","1653609600","301.28"
"5/28/2022","1653696000","307.13"
"5/29/2022","1653782400","305.73"
"5/30/2022","1653868800","321.47"
"5/31/2022","1653955200","320.61"
"6/1/2022","1654041600","300.05"
"6/2/2022","1654128000","308.32"
"6/3/2022","1654214400","298.18"
"6/4/2022","1654300800","301.14"
"6/5/2022","1654387200","298.69"
"6/6/2022","1654473600","294.81"
"6/7/2022","1654560000","290.16"
"6/8/2022","1654646400","288.31"
"6/9/2022","1654732800","289.52"
"6/10/2022","1654819200","285.97"
"6/11/2022","1654905600","269.40"
"6/12/2022","1654992000","254.81"
"6/13/2022","1655078400","222.73"
"6/14/2022","1655164800","222.76"
"6/15/2022","1655251200","233.27"
"6/16/2022","1655337600","210.02"
"6/17/2022","1655424000","215.46"
"6/18/2022","1655510400","196.74"
"6/19/2022","1655596800","214.94"
"6/20/2022","1655683200","216.31"
"6/21/2022","1655769600","219.89"
"6/22/2022","1655856000","213.97"
"6/23/2022","1655942400","228.67"
"6/24/2022","1656028800","240.05"
"6/25/2022","1656115200","239.66"
"6/26/2022","1656201600","233.73"
"6/27/2022","1656288000","233.19"
"6/28/2022","1656374400","226.59"
"6/29/2022","1656460800","219.45"
"6/30/2022","1656547200","219.48"
"7/1/2022","1656633600","216.58"
"7/2/2022","1656720000","217.86"
"7/3/2022","1656806400","218.84"
"7/4/2022","1656892800","231.25"
"7/5/2022","1656979200","230.56"
"7/6/2022","1657065600","238.36"
"7/7/2022","1657152000","241.31"
"7/8/2022","1657238400","240.45"
"7/9/2022","1657324800","243.06"
"7/10/2022","1657411200","234.47"
"7/11/2022","1657497600","225.47"
"7/12/2022","1657584000","220.23"
"7/13/2022","1657670400","230.31"
"7/14/2022","1657756800","238.38"
"7/15/2022","1657843200","238.50"
"7/16/2022","1657929600","249.76"
"7/17/2022","1658016000","247.68"
"7/18/2022","1658102400","264.18"
"7/19/2022","1658188800","268.68"
"7/20/2022","1658275200","258.27"
"7/21/2022","1658361600","265.56"
"7/22/2022","1658448000","262.59"
"7/23/2022","1658534400","259.18"
"7/24/2022","1658620800","261.35"
"7/25/2022","1658707200","244.33"
"7/26/2022","1658793600","249.43"
"7/27/2022","1658880000","271.71"
"7/28/2022","1658966400","277.34"
"7/29/2022","1659052800","293.85"
"7/30/2022","1659139200","287.81"
"7/31/2022","1659225600","283.51"
"8/1/2022","1659312000","283.50"
"8/2/2022","1659398400","283.71"
"8/3/2022","1659484800","298.25"
"8/4/2022","1659571200","311.87"
"8/5/2022","1659657600","315.95"
"8/6/2022","1659744000","315.31"
"8/7/2022","1659830400","322.79"
"8/8/2022","1659916800","325.04"
"8/9/2022","1660003200","324.59"
"8/10/2022","1660089600","328.90"
"8/11/2022","1660176000","323.90"
"8/12/2022","1660262400","328.24"
"8/13/2022","1660348800","324.29"
"8/14/2022","1660435200","317.75"
"8/15/2022","1660521600","319.58"
"8/16/2022","1660608000","316.17"
"8/17/2022","1660694400","306.88"
"8/18/2022","1660780800","298.11"
"8/19/2022","1660867200","279.11"
"8/20/2022","1660953600","283.64"
"8/21/2022","1661040000","301.88"
"8/22/2022","1661126400","299.91"
"8/23/2022","1661212800","299.15"
"8/24/2022","1661299200","296.34"
"8/25/2022","1661385600","301.46"
"8/26/2022","1661472000","279.53"
"8/27/2022","1661558400","277.81"
"8/28/2022","1661644800","276.36"
"8/29/2022","1661731200","286.02"
"8/30/2022","1661817600","281.52"
"8/31/2022","1661904000","279.12"
"9/1/2022","1661990400","278.27"
"9/2/2022","1662076800","277.45"
"9/3/2022","1662163200","277.89"
"9/4/2022","1662249600","279.13"
"9/5/2022","1662336000","276.87"
"9/6/2022","1662422400","262.30"
"9/7/2022","1662508800","279.07"
"9/8/2022","1662595200","280.66"
"9/9/2022","1662681600","293.60"
"9/10/2022","1662768000","296.73"
"9/11/2022","1662854400","295.40"
"9/12/2022","1662940800","294.11"
"9/13/2022","1663027200","277.50"
"9/14/2022","1663113600","279.36"
"9/15/2022","1663200000","271.09"
"9/16/2022","1663286400","274.89"
"9/17/2022","1663372800","279.06"
"9/18/2022","1663459200","266.39"
"9/19/2022","1663545600","272.04"
"9/20/2022","1663632000","266.39"
"9/21/2022","1663718400","264.14"
"9/22/2022","1663804800","275.37"
"9/23/2022","1663891200","276.63"
"9/24/2022","1663977600","274.54"
